index,num_topics,alpha,beta,coherence,silhouette
38,4,0.3,0.8,0.2860549570732481,0.5586118224590169
39,4,0.3,0.9,0.2891685226757933,0.5595300636429665
40,4,0.5,0.2,0.2914878954180375,0.5470365200225877
41,4,0.5,0.4,0.28944810171957114,0.5511803788754521
42,4,0.5,0.6,0.2901067097289036,0.5507341246646604
43,4,0.5,0.8,0.2887023631844723,0.5511866282088631
44,4,0.5,0.9,0.28375914278317993,0.552475958751802
45,4,0.7,0.2,0.29186291821323784,0.5485135907388786
46,4,0.7,0.4,0.28487098783242537,0.5460734750962143
47,4,0.7,0.6,0.28410748649392487,0.5488976371278522
48,4,0.7,0.8,0.28854414256987865,0.5495720627390674
49,4,0.7,0.9,0.28854414256987865,0.5497643356324645
50,5,asymmetric,0.2,0.2852760016902017,0.565901959818333
51,5,asymmetric,0.4,0.3154835296964335,0.5788515848130316
52,5,asymmetric,0.6,0.3158235799506952,0.5965940526285471
53,5,asymmetric,0.8,0.31667938993324196,0.6232927718225317
54,5,asymmetric,0.9,0.3314836657524881,0.6411510345274388
55,5,symmetric,0.2,0.2781155460630354,0.48216515706647367
56,5,symmetric,0.4,0.28294724852759245,0.49089957816386776
57,5,symmetric,0.6,0.28776743620678014,0.49436657077265805
58,5,symmetric,0.8,0.2829837616911893,0.5062869142606611
59,5,symmetric,0.9,0.27008807282981273,0.5098352799817375
60,5,0.3,0.2,0.28478299489156444,0.47985692515285944
61,5,0.3,0.4,0.28381780369905985,0.4847910786188275
62,5,0.3,0.6,0.2946883079148198,0.48590619160456977
63,5,0.3,0.8,0.2987621674529849,0.4925749101572441
64,5,0.3,0.9,0.30125840991752073,0.4984999527917625
65,5,0.5,0.2,0.2840510451757329,0.47987298622390734
66,5,0.5,0.4,0.28773688762049066,0.47447288213839317
67,5,0.5,0.6,0.29561779172318925,0.4746311202366052
68,5,0.5,0.8,0.29283812636380313,0.4764173670939992
69,5,0.5,0.9,0.30227856626359223,0.4748863444665732
70,5,0.7,0.2,0.29066589751495925,0.47716687012621695
71,5,0.7,0.4,0.3004926159785534,0.469334759036192
72,5,0.7,0.6,0.2996620149412452,0.4701930906580194
73,5,0.7,0.8,0.3122943629471667,0.47564384225461603
74,5,0.7,0.9,0.3129569489217957,0.47922428848532683
75,6,asymmetric,0.2,0.27711797285288636,0.5368507920816729
76,6,asymmetric,0.4,0.28106352457312006,0.5535971243732569
77,6,asymmetric,0.6,0.28894564508768233,0.5815503897861393
78,6,asymmetric,0.8,0.3342506989164142,0.6210746926656907
79,6,asymmetric,0.9,0.3370199396077447,0.6438917332830228
80,6,symmetric,0.2,0.27562786980232185,0.4602816916464193
81,6,symmetric,0.4,0.27982551042321996,0.47611474777757457
82,6,symmetric,0.6,0.28495195807025936,0.49683314396967737
83,6,symmetric,0.8,0.3028535689666737,0.5266032295028038
84,6,symmetric,0.9,0.30128102795253436,0.5390132725240843
85,6,0.3,0.2,0.2818364053179106,0.46165226464403325
86,6,0.3,0.4,0.2906914538798808,0.47351099978060207
87,6,0.3,0.6,0.28249657693590885,0.49630825024403896
88,6,0.3,0.8,0.3012445804426526,0.5222294007440801
89,6,0.3,0.9,0.30802635475589146,0.5417458446612481
90,6,0.5,0.2,0.27554070128800173,0.45648465845481256
91,6,0.5,0.4,0.2899723568335744,0.46490310091557385
92,6,0.5,0.6,0.3072442837205326,0.4810358996815594
93,6,0.5,0.8,0.31366320508180107,0.50697139324573
94,6,0.5,0.9,0.314428358082204,0.5240263414821248
95,6,0.7,0.2,0.27391182759507976,0.45222471120459656
96,6,0.7,0.4,0.29832596251347127,0.4556129489124933
97,6,0.7,0.6,0.30762812397338,0.460529442805678
98,6,0.7,0.8,0.3263574662113795,0.4844343752521973
99,6,0.7,0.9,0.32543393675743687,0.49617666240103353
100,7,asymmetric,0.2,0.2724995202898501,0.49946453481449604
101,7,asymmetric,0.4,0.2848737595795307,0.5251783223147252
102,7,asymmetric,0.6,0.3034391074304213,0.5604907361249345
103,7,asymmetric,0.8,0.34475397362311283,0.6146450599354001
104,7,asymmetric,0.9,0.36071305159416117,0.6413462655405012
105,7,symmetric,0.2,0.2700672317745268,0.45823582791099743
106,7,symmetric,0.4,0.265945073894061,0.4769597488776024
107,7,symmetric,0.6,0.2858932425162214,0.5068706418007412
108,7,symmetric,0.8,0.29215141050470494,0.5352448884492927
109,7,symmetric,0.9,0.3010016570999598,0.5532218794548972
110,7,0.3,0.2,0.2685669475154592,0.4653884421724704
111,7,0.3,0.4,0.2746802497695155,0.4852127648125988
112,7,0.3,0.6,0.29864011027759785,0.510330415757446
113,7,0.3,0.8,0.30046913100362,0.5469015605447015
114,7,0.3,0.9,0.3056233546249597,0.5642386470140929
115,7,0.5,0.2,0.283888283867296,0.4413053371057781
116,7,0.5,0.4,0.3085204770608519,0.4630211052167075
117,7,0.5,0.6,0.3055853540730859,0.48965759074024817
118,7,0.5,0.8,0.31551646384013676,0.5149223724557115
119,7,0.5,0.9,0.3148716063218092,0.5325249221513243
120,7,0.7,0.2,0.29742903287052375,0.4344195483267155
121,7,0.7,0.4,0.29896625826036816,0.4421254370500178
122,7,0.7,0.6,0.31089279748612697,0.4585439457139839
123,7,0.7,0.8,0.31796246654852706,0.483757350492836
124,7,0.7,0.9,0.3288122750371952,0.4985373896997747
