index,num_topics,alpha,beta,coherence,silhouette
31,4,symmetric,0.4,0.2849537149557747,0.5562702123886877
36,4,0.3,0.4,0.2858339839961062,0.556020626119461
35,4,0.3,0.2,0.286597293919652,0.5539062153231733
76,6,asymmetric,0.4,0.2810635245731201,0.5535971243732569
109,7,symmetric,0.9,0.3010016570999598,0.5532218794548972
44,4,0.5,0.9,0.28375914278317993,0.552475958751802
30,4,symmetric,0.2,0.27084677834975923,0.5517379068867672
43,4,0.5,0.8,0.2887023631844723,0.5511866282088631
41,4,0.5,0.4,0.28944810171957114,0.5511803788754521
42,4,0.5,0.6,0.2901067097289036,0.5507341246646604
49,4,0.7,0.9,0.28854414256987865,0.5497643356324645
48,4,0.7,0.8,0.28854414256987865,0.5495720627390674
47,4,0.7,0.6,0.2841074864939249,0.5488976371278522
45,4,0.7,0.2,0.29186291821323784,0.5485135907388786
40,4,0.5,0.2,0.2914878954180375,0.5470365200225877
113,7,0.3,0.8,0.30046913100362,0.5469015605447015
46,4,0.7,0.4,0.28487098783242537,0.5460734750962143
89,6,0.3,0.9,0.30802635475589146,0.5417458446612481
84,6,symmetric,0.9,0.3012810279525344,0.5390132725240843
75,6,asymmetric,0.2,0.2771179728528864,0.5368507920816729
108,7,symmetric,0.8,0.2921514105047049,0.5352448884492927
119,7,0.5,0.9,0.3148716063218092,0.5325249221513243
83,6,symmetric,0.8,0.3028535689666737,0.5266032295028038
101,7,asymmetric,0.4,0.2848737595795307,0.5251783223147252
94,6,0.5,0.9,0.314428358082204,0.5240263414821248
88,6,0.3,0.8,0.3012445804426526,0.5222294007440801
118,7,0.5,0.8,0.3155164638401368,0.5149223724557115
112,7,0.3,0.6,0.29864011027759785,0.5103304157574461
59,5,symmetric,0.9,0.27008807282981273,0.5098352799817375
93,6,0.5,0.8,0.3136632050818011,0.5069713932457299
107,7,symmetric,0.6,0.2858932425162214,0.5068706418007412
58,5,symmetric,0.8,0.2829837616911893,0.5062869142606611
100,7,asymmetric,0.2,0.2724995202898501,0.499464534814496
124,7,0.7,0.9,0.3288122750371952,0.4985373896997747
64,5,0.3,0.9,0.30125840991752073,0.4984999527917625
82,6,symmetric,0.6,0.28495195807025936,0.4968331439696774
87,6,0.3,0.6,0.28249657693590885,0.496308250244039
99,6,0.7,0.9,0.3254339367574369,0.4961766624010335
57,5,symmetric,0.6,0.2877674362067801,0.4943665707726581
63,5,0.3,0.8,0.2987621674529849,0.4925749101572441
56,5,symmetric,0.4,0.28294724852759245,0.4908995781638678
117,7,0.5,0.6,0.3055853540730859,0.4896575907402482
62,5,0.3,0.6,0.2946883079148198,0.4859061916045698
111,7,0.3,0.4,0.2746802497695155,0.4852127648125988
61,5,0.3,0.4,0.28381780369905985,0.4847910786188275
98,6,0.7,0.8,0.3263574662113795,0.4844343752521973
123,7,0.7,0.8,0.31796246654852706,0.483757350492836
55,5,symmetric,0.2,0.2781155460630354,0.4821651570664737
92,6,0.5,0.6,0.3072442837205326,0.4810358996815594
65,5,0.5,0.2,0.2840510451757329,0.4798729862239074
60,5,0.3,0.2,0.28478299489156444,0.4798569251528594
74,5,0.7,0.9,0.3129569489217957,0.4792242884853268
70,5,0.7,0.2,0.29066589751495925,0.477166870126217
106,7,symmetric,0.4,0.265945073894061,0.4769597488776024
68,5,0.5,0.8,0.29283812636380313,0.4764173670939992
81,6,symmetric,0.4,0.27982551042322,0.4761147477775746
73,5,0.7,0.8,0.3122943629471667,0.475643842254616
69,5,0.5,0.9,0.30227856626359223,0.4748863444665732
67,5,0.5,0.6,0.29561779172318925,0.4746311202366052
66,5,0.5,0.4,0.28773688762049066,0.4744728821383932
86,6,0.3,0.4,0.2906914538798808,0.4735109997806021
72,5,0.7,0.6,0.2996620149412452,0.4701930906580194
